10oC	
Cycles	Capacity Mean	Capacity Errorbar	Capacity High Voltage Plateau Mean	Capacity High Voltage Plateau Errorbar	Capacity Low Voltage Plateau Mean	Capacity Low Voltage Plateau Errorbar	Coulombic efficiency Mean	Coulombic efficiency Errorbar
0	1	0	0.718124308820632	-0.00175437026698488	0.281875691179368	0.00175437026698494	1	0
20	0.849592596554411	0.0503601370205062	0.694021488707007	-0.00133941587787534	0.305978511292993	0.00133941587787528	1.07721694234731	0.0428869312731157
40	0.826096850301049	0.0159702680225682	0.688731881290368	-0.00224458570229746	0.311268118709632	0.00224458570229741	0.958479277072856	0.0185819650825212
60	0.802708208217270	0.00564219354734330	0.681866618264031	0.000353784807734625	0.318133381735969	-0.000353784807734625	0.946849480134081	0.0127912902619374
80	0.789562952309487	0.000605631273307705	0.684421145376302	-0.000460386084548681	0.315578854623698	0.000460386084548681	0.944322737062404	0.0135868063264730
100	0.781455596703764	0.00502578734501191	0.680027162108708	-0.00165865561520173	0.319972837891292	0.00165865561520173	0.947997357016094	0.00991218637278335
120	0.741159830972927	0.00812059984010860	0.666030346065445	-0.00162764649961078	0.333969653934555	0.00162764649961078	0.925222312366694	0.0142723015465248
140	0.713642624915095	7.71609163554565e-05	0.654403040563581	-0.00445824038694154	0.345596959436419	0.00445824038694154	0.979220123452974	0.0268391710720212
160	0.412695531718318	0.0130174035266800	0.633767279634260	-0.00677786516982870	0.366232720365740	0.00677786516982876	0.882980419143688	0.0407373908541481

20oC	
Cycles	Capacity Mean	Capacity Errorbar	Capacity High Voltage Plateau Mean	Capacity High Voltage Plateau Errorbar	Capacity Low Voltage Plateau Mean	Capacity Low Voltage Plateau Errorbar	Coulombic efficiency Mean	Coulombic efficiency Errorbar
0	1	0	0.719170976764469	-0.0107072251441201	0.280829023235532	0.0107072251441201	1	0
20	0.915740181649360	0.0238021481368720	0.714294121417293	-0.0131031388566800	0.285705878582707	0.0131031388566801	1.03215201709549	0.0441805593992639
40	0.880308898172458	0.000753384470602692	0.744552959223430	-0.0454823739433496	0.255447040776570	0.0454823739433496	0.983434278207777	0.0262497177147508
60	0.851891017965985	0.0131935788259284	0.708816856808494	-0.0118551559641031	0.291183143191506	0.0118551559641030	1.00601468445386	0.0118250820073780
80	0.832653437635586	0.0102696247996711	0.702220844346286	-0.0131927034882204	0.297779155653714	0.0131927034882204	0.981278561233002	0.00679483326241070
100	0.810890480877681	0.0131984163819485	0.701872233039197	-0.0135126753522249	0.298127766960803	0.0135126753522248	0.974436264371750	0.00752092217259293
120	0.781484633686156	0.0303306659340217	0.699416609109723	-0.0139079597557940	0.300583390890277	0.0139079597557940	0.965751566497147	0.0681980496775749
140	0.768049744724020	0.00804342161304894	0.701610657803245	-0.00987257643208261	0.298389342196755	0.00987257643208256	0.957012345825964	0.00945044724233357
160	0.748668055936935	0.0145864878054139	0.698579595872199	-0.0104066266242020	0.301420404127801	0.0104066266242021	0.959894482352502	0.00779155230601014
180	0.710463208418993	0.0344594145524105	0.691649879317986	-0.0196981464710660	0.308350120682014	0.0196981464710660	0.958247953411279	0.0102535756407089
200	0.625097449040449	0.0768204967799363	0.656813440090851	-0.0419477959898249	0.343186559909149	0.0419477959898249	0.974184596532959	0.00359318124481922
220	0.661330319866905	0	0.691048034934498	0	0.308951965065502	0	1.04335603849065	0
240	0.549989013403648	0	0.644654985446036	0	0.355345014553964	0	0.958914477240783	0

30oC	
Cycles	Capacity Mean	Capacity Errorbar	Capacity High Voltage Plateau Mean	Capacity High Voltage Plateau Errorbar	Capacity Low Voltage Plateau Mean	Capacity Low Voltage Plateau Errorbar	Coulombic efficiency Mean	Coulombic efficiency Errorbar
0	1	0	0.713551856438165	-0.00542027666871059	0.286448143561835	0.00542027666871064	1	0
20	0.913930675655370	0.0125656382269242	0.703064660614530	-0.000916914567798854	0.296935339385470	0.000916914567798854	0.947196626350294	0.00459057231969806
40	0.871901891881128	0.00654993868241094	0.702993282937289	-0.00102678103479592	0.297006717062711	0.00102678103479603	0.931867111947808	0.000757386262022042
60	0.839120192834211	0.00503200009344174	0.704079545112299	-0.00164088175145860	0.295920454887701	0.00164088175145866	0.869865542645863	0.00212115727101181
80	0.807630384658467	0.00612695633865856	0.701331833657047	-0.00129344594111636	0.298668166342953	0.00129344594111624	0.792135031215134	0.00888482340133534
100	0.782689923687248	0.0123244459241478	0.721163309800956	0.00516281986505596	0.278836690199044	-0.00516281986505585	0.711614669701645	0.00130710527936784
120	0.768543930233875	0.0196604931073726	0.741649835598722	-0.00421324713962279	0.258350164401278	0.00421324713962279	0.698567860348045	0.00560919700856366
140	0.761984730304673	0.0174417347709240	0.751079205475920	-0.00525739472685149	0.248920794524080	0.00525739472685152	0.692664190938516	0.00371984896173361
160	0.756116199694285	0.0149071665433760	0.741948337765187	0.00109286802064001	0.258051662234813	-0.00109286802064001	0.687404610151955	0.00149813299018919
180	0.750025804942257	0.00850224703825009	0.738628908186691	0.00487424242489887	0.261371091813310	-0.00487424242489881	0.681956380341324	0.00427558233633663
200	0.748759797615053	0.00748785951352404	0.743002903021455	-0.00265840304210851	0.256997096978545	0.00265840304210846	0.680754568589196	0.00515190857257064
