10oC	
Cell1
Cycles	Peak position	Peak height	Peak width

0.2C/0.2C
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34669374080111	0.285494309887626	0.120930252113146
20	2.34010098708501	0.319077934328550	0.120526265756808
40	2.34446358622326	0.352336012924135	0.118792792667400
60	2.36262085737664	0.310782101050257	0.138206788341971

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34828287234643	0.285124077531361	0.121995713673221
20	2.33888742360034	0.321162766702953	0.121183235660936
40	2.34859256199401	0.330276689240696	0.125895202322511
60	2.39284857663318	0.519374650540100	0.150201864242066

0.3C/0.2C
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34545914998782	0.278577545770751	0.122906439603699
20	2.34862932711226	0.325207366828774	0.128785119225010
30	2.36464660285346	0.316830508462132	0.140556438500047

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34895215658250	0.299586780162867	0.116692822788565
20	2.36000849238320	0.328335642472364	0.130446694443560
30	2.42246100666015	0.400566838661012	0.185079618064704
