0.1C/0.2C								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	34.2	18.055	3.573	3.57	19.11	0.324	70.45	97.94
20	37.2858	5.946	5.946	5.94	21	1.2	30.7935	50.033
40	34.301	1.465	6.193	6.19	23.4	0.999	30	62.0037
60	39.6174	0.799	7.17	14.499	26	1.499	53	70.11
80	59.0736	0.8	7.989	26.3355	35.2827	7.805	61.006	81.8142
100	80.9985	0.797	12.3855	28.998	49.99	14.995	75	93
								
0.1C/0.5C								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	29.7473	15.0105	7.648	12.803	26.1545	6.302	56.4764	60.5859
20	23.6891	5.733	7.025	16.8245	23.004	4.99	62.4468	77
40	6.5243	4.916	6.684	27.483	28	4.999	75	94
								
0.1C/1C								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	37.4465	11.001	9.08176	14	21.2025	6.044	77.5965	89.5095
20	36.7435	10.7359	6	17.035	23.0015	19.9763	94.9754	132.025
40	37.1093	4.6606	7	37.1	28	24.99	113.975	173.67
60	31	24.2841	100.001	180	26.0027	31	203.384	252.332
								
0.2C/0.2C								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	26.0235	16.1865	4.997	14.7884	25.7065	2.609	42.8726	69.3125
20	56.0705	5	16.9325	38.0175	49.4223	29.1245	62.9536	170.875
40	126	51.7125	68.2832	158.105	129.003	67	84	246.005
								
0.3C/0.2C								
	DOD15				DOD70			
Cycles	Re	Rint	Rct	Rdiff	Re	Rint	Rct	Rdiff
0	35	20.9057	5.003	16	23.8	5.098	58.189	86.2171
10	84.5224	6.18595	26.0533	151.288	55.0014	39.156	159.363	272.274
20	205.025	120.015	136.013	178.22	242.716	199.199	187.256	386.21
