Voltage [V]	Capacity [-]	dQ/dV [V/Ah]
2.396000	0.819289	0.143272
2.396400	0.820172	0.139469
2.396800	0.821087	0.132493
2.397200	0.821971	0.127302
2.397400	0.822854	0.120551
2.397800	0.823737	0.115971
2.398200	0.824652	0.111622
2.398400	0.825536	0.110116
2.398800	0.826419	0.107696
2.399000	0.827334	0.106760
2.399400	0.828217	0.103765
2.399600	0.829101	0.101756
2.400000	0.829984	0.100959
2.400200	0.830899	0.099984
2.400600	0.831782	0.100481
2.400800	0.832666	0.100477
2.401200	0.833580	0.098809
2.401400	0.834464	0.097715
2.401600	0.835347	0.095042
2.401800	0.836231	0.095654
2.402200	0.837145	0.094135
2.402400	0.838029	0.093905
2.402700	0.838912	0.091775
2.403100	0.839827	0.091232
2.403300	0.840710	0.089017
2.403500	0.841594	0.087241
2.403700	0.842477	0.084756
2.403900	0.843392	0.082850
2.404300	0.844275	0.080740
2.404500	0.845159	0.079660
2.404700	0.846074	0.078454
2.404900	0.846957	0.078262
2.405100	0.847840	0.078458
2.405300	0.848724	0.079240
2.405500	0.849639	0.079633
2.405700	0.850522	0.076956
2.405900	0.851405	0.075812
2.406300	0.852320	0.074964
2.406500	0.853204	0.076539
2.406700	0.854087	0.077091
2.406900	0.854971	0.078015
2.407100	0.855885	0.078477
2.407300	0.856769	0.077187
2.407500	0.857652	0.076112
2.407700	0.858567	0.074598
2.407900	0.859450	0.074909
2.408100	0.860334	0.076929
2.408500	0.861217	0.080114
2.408500	0.862132	0.083454
2.408900	0.863015	0.083611
2.409100	0.863899	0.083863
2.409300	0.864814	0.084221
2.409500	0.865697	0.085927
2.409700	0.866580	0.086763
2.410100	0.867464	0.085504
2.410300	0.868379	0.084167
2.410600	0.869262	0.084803
2.410800	0.870145	0.083967
2.411000	0.871060	0.085026
2.411200	0.871944	0.084566
2.411400	0.872827	0.087183
2.411800	0.873710	0.087472
2.412000	0.874625	0.086721
2.412200	0.875509	0.085739
2.412400	0.876392	0.084017
2.412600	0.877307	0.084668
2.413000	0.878190	0.086216
2.413200	0.879074	0.089040
2.413400	0.879957	0.090080
2.413800	0.880872	0.088647
2.414000	0.881755	0.088917
2.414200	0.882639	0.089572
2.414400	0.883554	0.091929
2.414600	0.884437	0.091846
2.414800	0.885320	0.089225
2.415200	0.886204	0.088339
2.415600	0.887119	0.085862
2.415800	0.888002	0.086186
2.416000	0.888885	0.087145
2.416200	0.889769	0.089360
2.416400	0.890684	0.091800
2.416800	0.891567	0.092241
2.417000	0.892450	0.093339
2.417200	0.893365	0.091617
2.417400	0.894249	0.091283
2.417600	0.895132	0.093050
2.418000	0.896015	0.097091
2.418200	0.896930	0.099310
2.418700	0.897814	0.097553
2.418900	0.898697	0.095292
2.419100	0.899612	0.093224
2.419500	0.900495	0.093430
2.419700	0.901379	0.093686
2.419900	0.902262	0.093281
2.420100	0.903177	0.090089
2.420500	0.904060	0.088189
2.420700	0.904944	0.086359
2.420900	0.905859	0.087757
2.421100	0.906742	0.088397
2.421300	0.907625	0.089633
2.421700	0.908509	0.090442
2.421900	0.909424	0.091514
2.422300	0.910307	0.092754
2.422500	0.911190	0.092130
2.422700	0.912105	0.092977
2.422900	0.912989	0.093979
2.423300	0.913872	0.094476
2.423500	0.914787	0.093366
2.423700	0.915670	0.091884
2.424100	0.916554	0.092603
2.424300	0.917437	0.093239
2.424500	0.918352	0.095885
2.424900	0.919235	0.098528
2.425100	0.920119	0.099013
2.425300	0.921034	0.097446
2.425700	0.921917	0.097191
2.425900	0.922800	0.098147
2.426100	0.923684	0.098366
2.426600	0.924599	0.097892
2.426800	0.925482	0.095518
2.427000	0.926365	0.093270
2.427400	0.927280	0.091247
2.427600	0.928164	0.090767
2.427800	0.929047	0.089683
2.428000	0.929930	0.088169
2.428400	0.930845	0.086270
2.428600	0.931729	0.082746
2.428800	0.932612	0.080785
2.429000	0.933527	0.078450
2.429200	0.934410	0.079148
2.429400	0.935294	0.079725
2.429800	0.936177	0.082160
2.430000	0.937092	0.084402
2.430200	0.937975	0.083114
2.430400	0.938859	0.083701
2.430600	0.939742	0.084934
2.430800	0.940657	0.088069
2.431000	0.941540	0.089025
2.431400	0.942424	0.089025
2.431600	0.943338	0.087441
2.432000	0.944222	0.086109
2.432200	0.945105	0.085797
2.432400	0.945989	0.087126
2.432600	0.946903	0.088193
2.432800	0.947787	0.086964
2.433200	0.948670	0.085396
2.433400	0.949585	0.083443
2.433600	0.950468	0.084471
2.433800	0.951352	0.083797
2.434000	0.952267	0.085673
2.434200	0.953150	0.086733
2.434500	0.954034	0.089610
2.434900	0.954917	0.090574
2.435100	0.955832	0.088321
2.435300	0.956715	0.088301
2.435500	0.957599	0.088783
2.435900	0.958513	0.089766
2.436100	0.959397	0.089122
2.436300	0.960280	0.088093
2.436500	0.961164	0.086602
2.436900	0.962078	0.085635
2.437100	0.962962	0.085303
2.437300	0.963845	0.087696
2.437500	0.964729	0.089662
2.437700	0.965643	0.089731
2.438100	0.966527	0.091272
2.438300	0.967410	0.091650
2.438500	0.968325	0.094232
2.438900	0.969208	0.092787
2.439100	0.970092	0.095076
2.439300	0.970975	0.096297
2.439700	0.971890	0.100440
2.439900	0.972773	0.100867
2.440300	0.973657	0.102189
2.440500	0.974572	0.103010
2.440700	0.975455	0.105380
2.441100	0.976338	0.105854
2.441300	0.977253	0.106482
2.441700	0.978137	0.107187
2.441900	0.979020	0.107892
2.442400	0.979903	0.108520
2.442600	0.980818	0.107676
2.443000	0.981702	0.110778
2.443200	0.982585	0.112254
2.443600	0.983468	0.113345
2.443800	0.984383	0.113973
2.444200	0.985267	0.114062
2.444400	0.986182	0.115661
2.444800	0.987065	0.114008
2.445200	0.987948	0.115584
2.445400	0.988832	0.117564
2.445800	0.989747	0.121229
2.446200	0.990630	0.122717
2.446600	0.991513	0.123420
2.446800	0.992428	0.123553
2.447200	0.993312	0.124039
2.447600	0.994195	0.124362
2.447800	0.995078	0.124522
2.448200	0.995993	0.124518
2.448600	0.996877	0.124350
2.449000	0.997760	0.124019
2.449400	0.998643	0.123525
2.449600	0.999558	0.061680
2.450000	1.000000	
