time_s,current_a,soc,voltage_v,temperature_c,heat_w
0.0,3.0,0.95,4.068568776924863,25.0,0.28800000000000003
1.0,3.0,0.949723611111111,4.067003347889833,25.006666666666668,0.29170693019106997
2.0,3.0,0.9494472222222221,4.065465675402734,25.01333426535936,0.29532903734855065
3.0,3.0,0.9491708333333332,4.063955106157683,25.020000820715865,0.2988682624172822
4.0,3.0,0.9488944444444443,4.062471001588197,25.02666442745252,0.3023265019288515
5.0,3.0,0.9486180555555553,4.061012737528106,25.033323248443953,0.30570560901786914
6.0,3.0,0.9483416666666664,4.059579703880226,25.039975512850752,0.3090073944149908
7.0,3.0,0.9480652777777775,4.058171304292618,25.046619514293972,0.3122336274172173
8.0,3.0,0.9477888888888886,4.05678695584225,25.05325360907535,0.3153860368359908
9.0,3.0,0.9475124999999996,4.05542608872591,25.059876214442124,0.31846631192359726
10.0,3.0,0.9472361111111107,4.05408814595819,25.066485806895376,0.32147610327837006
11.0,3.0,0.9469597222222218,4.052772583076385,25.073080920540882,0.3244170237291809
12.0,3.0,0.9466833333333329,4.051478867852156,25.07966014548143,0.32729064919969153
13.0,3.0,0.946406944444444,4.050206480009787,25.0862221262496,0.33009851955282893
14.0,3.0,0.946130555555555,4.048954910950903,25.09276556028005,0.3328421394159376
15.0,3.0,0.9458541666666661,4.047723663485498,25.099289196420372,0.3355229789870501
16.0,3.0,0.9455777777777772,4.046512251569112,25.105791833479536,0.3381424748227084
17.0,3.0,0.9453013888888883,4.045320200046042,25.112272318813076,0.3407020306077583
18.0,3.0,0.9450249999999993,4.044147044398444,25.11872954694411,0.3432030179075283
19.0,3.0,0.9447486111111104,4.0429923305011695,25.1251624582193,0.3456467769027982
20.0,3.0,0.9444722222222215,4.041855614382239,25.13157003749898,0.3480346171079493
21.0,3.0,0.9441958333333326,4.040736461988805,25.137951312880546,0.35036781807268114
22.0,3.0,0.9439194444444436,4.039634448958477,25.14430535445435,0.3526476300676722
23.0,3.0,0.9436430555555547,4.0385491603959025,25.150631273091335,0.35487527475455094
24.0,3.0,0.9433666666666658,4.037480190654474,25.156928219261573,0.357051945840536
25.0,3.0,0.9430902777777769,4.036427143123039,25.163195381883025,0.3591788097180973
26.0,3.0,0.942813888888888,4.035389630017524,25.169431987199747,0.36125700608997935
27.0,3.0,0.942537499999999,4.034367272177325,25.17563729768887,0.36328764857992374
28.0,3.0,0.9422611111111101,4.033359698866396,25.181810610995605,0.365271825329416
29.0,3.0,0.9419847222222212,4.032366547578895,25.187951258895648,0.36721059958077795
30.0,3.0,0.9417083333333323,4.031387463849308,25.194058606284262,0.36910501024691744
31.0,3.0,0.9414319444444433,4.030422101066937,25.200132050191453,0.37095607246804085
32.0,3.0,0.9411555555555544,4.029470120294657,25.206171018822534,0.37276477815562703
33.0,3.0,0.9408791666666655,4.028531190091844,25.212174970623536,0.37453209652395353
34.0,3.0,0.9406027777777766,4.0276049863413865,25.21814339337078,0.37625897460946034
35.0,3.0,0.9403263888888876,4.026691192080679,25.224075803284105,0.37794633777822984
36.0,3.0,0.9400499999999987,4.025789497336511,25.229971744163088,0.37959509022185345
37.0,3.0,0.9397736111111098,4.024899598963767,25.235830786545776,0.38120611544195326
38.0,3.0,0.9394972222222209,4.024021200487848,25.241652526889336,0.38278027672361503
39.0,3.0,0.939220833333332,4.023154011950732,25.24743658677208,0.3843184175979891
40.0,3.0,0.938944444444443,4.02229774976059,25.25318261211637,0.3858213622943055
41.0,3.0,0.9386680555555541,4.021452136544881,25.258890272431884,0.3872899161815462
42.0,3.0,0.9383916666666652,4.020616901006845,25.264559260078737,0.3887248662000101
43.0,3.0,0.9381152777777763,4.019791777785316,25.270189289549958,0.39012698128300416
44.0,3.0,0.9378388888888873,4.018976507317791,25.275780096772888,0.39149701276888393
45.0,3.0,0.9375624999999984,4.018170835706659,25.281331438428992,0.39283569480366665
46.0,3.0,0.9372861111111095,4.017374514588552,25.286843091291672,0.39414374473443103
47.0,3.0,0.9370097222222206,4.016587301006722,25.29231485158158,0.3954218634937153
48.0,3.0,0.9367333333333316,4.0158089572863735,25.297746534339076,0.3966707359751195
49.0,3.0,0.9364569444444427,4.015039250912923,25.30313797281335,0.3978910314003131
50.0,3.0,0.9361805555555538,4.014277954413071,25.308489017867817,0.3990834036776446
51.0,3.0,0.9359041666666649,4.013524845238654,25.31379953740139,0.40024849175254495
52.0,3.0,0.935627777777776,4.01277970565321,25.31906941578523,0.4013869199499139
