temperature_c,storage_soc,efc_per_day,soh,resistance_ratio,throughput_efc,pareto
15,0.3,0.2,0.9919700400275373,1.0052194739821008,73.0,True
15,0.3,0.7,0.9908445279366584,1.005951056841172,255.49999999999997,True
15,0.3,1.2,0.9899464795183196,1.0065347883130922,438.0,True
15,0.6,0.2,0.9890654678110102,1.0071074459228433,73.0,False
25,0.3,0.2,0.9884849231581744,1.0074847999471868,73.0,False
15,0.6,0.7,0.9879399557201314,1.0078390287819146,255.49999999999997,False
25,0.3,0.7,0.9873594110672955,1.0082163828062578,255.49999999999997,False
15,0.6,1.2,0.9870419073017925,1.008422760253835,438.0,False
25,0.3,1.2,0.9864613626489567,1.0088001142781782,438.0,False
15,0.9,0.2,0.9861608955944833,1.0089954178635858,73.0,False
15,0.9,0.7,0.9850353835036044,1.009727000722657,255.49999999999997,False
25,0.6,0.2,0.9841863041939023,1.0102789022739636,73.0,False
15,0.9,1.2,0.9841373350852656,1.0103107321945775,438.0,False
35,0.3,0.2,0.9837266720642979,1.0105776631582064,73.0,False
25,0.6,0.7,0.9830607921030234,1.0110104851330348,255.49999999999997,False
35,0.3,0.7,0.982601159973419,1.0113092460172777,255.49999999999997,False
25,0.6,1.2,0.9821627436846846,1.011594216604955,438.0,False
35,0.3,1.2,0.9817031115550802,1.0118929774891978,438.0,False
25,0.9,0.2,0.9798876852296302,1.0130730046007403,73.0,False
25,0.9,0.7,0.9787621731387514,1.0138045874598116,255.49999999999997,False
25,0.9,1.2,0.9778641247204125,1.014388318931732,438.0,False
35,0.6,0.2,0.9775247526624751,1.0146089107693912,73.0,False
45,0.3,0.2,0.9773711959012225,1.0147087226642053,73.0,False
35,0.6,0.7,0.9763992405715962,1.0153404936284625,255.49999999999997,False
45,0.3,0.7,0.9762456838103436,1.0154403055232766,255.49999999999997,False
35,0.6,1.2,0.9755011921532574,1.0159242251003826,438.0,False
45,0.3,1.2,0.9753476353920048,1.016024036995197,438.0,False
35,0.9,0.2,0.9713228332606523,1.018640158380576,73.0,False
35,0.9,0.7,0.9701973211697734,1.0193717412396472,255.49999999999997,False
35,0.9,1.2,0.9692992727514346,1.0199554727115676,438.0,False
45,0.6,0.2,0.9686270860341696,1.0203923940777897,73.0,False
45,0.6,0.7,0.9675015739432907,1.021123976936861,255.49999999999997,False
45,0.6,1.2,0.9666035255249519,1.0217077084087813,438.0,False
45,0.9,0.2,0.9598829761671167,1.026076065491374,73.0,False
45,0.9,0.7,0.9587574640762379,1.0268076483504454,255.49999999999997,False
45,0.9,1.2,0.957859415657899,1.0273913798223657,438.0,False
