chemistry,cell_key,days_passed,temperature,state_of_charge,soh,predicted_soh,lower_soh,upper_soh,covered
LCO,LCO_25_50_60,0,60,50,1.0,0.997758518664135,0.9356583202828198,1.0598587170454503,True
LCO,LCO_25_50_60,35,60,50,0.9831430059319168,0.9738152058840175,0.9117150075027023,1.0359154042653327,True
LCO,LCO_25_50_60,58,60,50,0.9726279097642133,0.9614294304616192,0.899329232080304,1.0235296288429345,True
LCO,LCO_25_50_60,82,60,50,0.9636912798387559,0.9513364751074072,0.889236276726092,1.0134366734887224,True
LCO,LCO_25_50_60,120,60,50,0.9497735725071609,0.9412696311631318,0.8791694327818166,1.003369829544447,True
LCO,LCO_26_50_60,0,60,50,1.0,0.997758518664135,0.9356583202828198,1.0598587170454503,True
LCO,LCO_26_50_60,35,60,50,0.9799629791436001,0.9738152058840175,0.9117150075027023,1.0359154042653327,True
LCO,LCO_26_50_60,58,60,50,0.9697534301714845,0.9614294304616192,0.899329232080304,1.0235296288429345,True
LCO,LCO_26_50_60,82,60,50,0.9610867443625646,0.9513364751074072,0.889236276726092,1.0134366734887224,True
LCO,LCO_26_50_60,120,60,50,0.9464845997365665,0.9412696311631318,0.8791694327818166,1.003369829544447,True
LCO,LCO_43_100_60,0,60,100,1.0,0.9845684205635054,0.9224682221821902,1.0466686189448207,True
LCO,LCO_43_100_60,35,60,100,0.9505482047987434,0.9418552150728345,0.8797550166915193,1.0039554134541497,True
LCO,LCO_43_100_60,58,60,100,0.9057070463312971,0.9171349387263584,0.8550347403450432,0.9792351371076736,True
LCO,LCO_43_100_60,82,60,100,0.8511278597033163,0.8941711997991955,0.8320710014178803,0.9562713981805107,True
LCO,LCO_43_100_60,120,60,100,0.7955393489121916,0.863725615197748,0.8016254168164328,0.9258258135790632,False
LCO,LCO_71_20_60,0,60,20,1.0,1.0084726468744125,0.9463724484930973,1.0705728452557277,True
LCO,LCO_71_20_60,35,60,20,0.9903201949059391,0.9957912697206268,0.9336910713393116,1.057891468101942,True
LCO,LCO_71_20_60,58,60,20,0.978994435337651,0.9908061948526753,0.9287059964713601,1.0529063932339904,True
LCO,LCO_71_20_60,82,60,20,0.975731725286657,0.9884357096422337,0.9263355112609185,1.0505359080235488,True
LCO,LCO_71_20_60,120,60,20,0.966905224373837,0.9905961100922617,0.9284959117109465,1.052696308473577,True
LCO,LCO_112_100_60,0,60,100,1.0,0.9845684205635054,0.9224682221821902,1.0466686189448207,True
LCO,LCO_112_100_60,35,60,100,0.9522001014289577,0.9418552150728345,0.8797550166915193,1.0039554134541497,True
LCO,LCO_112_100_60,58,60,100,0.9073468583609366,0.9171349387263584,0.8550347403450432,0.9792351371076736,True
