time_s,cell_voltage_min_v,cell_voltage_mean_v,cell_voltage_max_v,cell_temperature_max_c,soc_min,soc_max,pack_voltage_v,pack_power_w,soc_spread
0.0,4.002646489390653,4.038885275192793,4.0730005808376255,25.0,0.926090962589906,0.974004998556109,48.46662330231351,387.73298641850806,0.04791403596620303
2.0,3.9983472496594836,4.034723682748544,4.068894480355068,25.026280435525674,0.9253588901816796,0.973273425374655,48.41668419298253,387.33347354386024,0.047914535192975394
4.0,3.9941874911176036,4.030705239607749,4.064933221514068,25.052494906245403,0.9246268177734532,0.972541852193201,48.36846287529299,386.9477030023439,0.04791503441974776
6.0,3.990160322741434,4.026823148819062,4.061110049703572,25.078617801878828,0.9238947453652269,0.971810279011747,48.32187778582875,386.57502228663,0.047915533646520125
8.0,3.9862591521481296,4.023070912126948,4.057418509189737,25.104625398882586,0.9231626729570005,0.971078705830293,48.27685094552338,386.214807564187,0.04791603287329249
10.0,3.9824776721843356,4.0194423163386155,4.053852429407404,25.130495756552843,0.9224306005487741,0.970347132648839,48.233307796063386,385.8664623685071,0.04791653210006486
12.0,3.978809848157868,4.015931420315229,4.050405911869317,25.15620861830031,0.9216985281405478,0.969615559467385,48.191177043782744,385.52941635026195,0.04791703132683722
14.0,3.9752499056855877,4.012532542559924,4.047073317665335,25.18174531785175,0.9209664557323214,0.968883986285931,48.15039051071909,385.20312408575273,0.04791753055360959
16.0,3.9717923191320423,4.009240249376476,4.043849255525201,25.207088690143312,0.920234383324095,0.968152413104477,48.110882992517716,384.88706394014173,0.047918029780381954
18.0,3.9684318006145465,4.006049343573644,4.0407285704196125,25.23222298668212,0.9195023109158686,0.967420839923023,48.072592122883734,384.58073698306987,0.04791852900715432
20.0,3.9651632895515596,4.002954853691425,4.037706332675546,25.25713379516275,0.9187702385076423,0.966689266741569,48.035458244297104,384.28366595437683,0.047919028233926686
22.0,3.9619819427322005,3.9999520237265167,4.034777827582877,25.281807963135293,0.9180381660994159,0.965957693560115,47.9994242847182,383.9953942777456,0.04791952746069905
24.0,3.9588831248857725,3.9970363033353618,4.031938545470421,25.306233525531145,0.9173060936911895,0.965226120378661,47.96443564002434,383.7154851201947,0.04792002668747142
26.0,3.9558623997310276,3.994203338494169,4.029184172230566,25.330399635861703,0.9165740212829632,0.964494547197207,47.93044006193003,383.4435204954402,0.04792052591424378
28.0,3.9529155214858442,3.9914489625962344,4.026510580272589,25.354296500913733,0.9158419488747368,0.963762974015753,47.897387551154814,383.1791004092385,0.04792102514101615
30.0,3.950038426818677,3.988769187967824,4.023913819885757,25.3779153187735,0.9151098764665104,0.963031400834299,47.86523025561389,382.9218420449111,0.047921524367788515
32.0,3.9472272272239723,3.986160197784729,4.021390110994148,25.40124822001945,0.9143778040582841,0.9622998276528449,47.83392237341675,382.671378987334,0.04792202359456088
34.0,3.944478201804374,3.9836183383724584,4.018935835286031,25.424288211930893,0.9136457316500577,0.9615682544713909,47.8034200604695,382.427360483756,0.04792252282133325
36.0,3.9417877904431533,3.9811401118737795,4.016547528701434,25.44702912556713,0.9129136592418313,0.9608366812899369,47.773681342485354,382.18945073988283,0.04792302204810561
38.0,3.939152587350886,3.978722169268101,4.014221874262333,25.46946556557836,0.912181586833605,0.9601051081084829,47.744666031217214,381.9573282497377,0.04792352127487798
40.0,3.9365693349709012,3.9763613037278724,4.011955695230653,25.491592862616198,0.9114495144253786,0.9593735349270289,47.71633564473447,381.73068515787577,0.047924020501650344
42.0,3.9340349182284573,3.9740544442978583,4.009745948579958,25.51340702821779,0.9107174420171522,0.9586419617455749,47.6886533315743,381.5092266525944,0.04792451972842271
44.0,3.931546359109031,3.971798649883771,4.007589718767441,25.534904712043474,0.9099853696089258,0.9579103885641209,47.66158379860525,381.292670388842,0.047925018955195076
46.0,3.929100811551422,3.969591103537358,4.005484211793469,25.556083161353545,0.9092532972006995,0.9571788153826669,47.6350932424483,381.0807459395864,0.04792551818196744
48.0,3.9266955566416963,3.967429107025581,4.003426749536544,25.576940182615076,0.9085212247924731,0.9564472422012129,47.60914928430697,380.8731942744558,0.04792601740873981
50.0,3.9243279980942165,3.965310075672089,4.001414764352192,25.59747410513487,0.9077891523842467,0.9557156690197589,47.58372090806507,380.66976726452054,0.04792651663551217
52.0,3.9219956580062325,3.963231533459654,3.9994457939248425,25.61768374661952,0.9070570799760204,0.9549840958383049,47.55877840151585,380.4702272121268,0.04792701586228454
54.0,3.9196961728726594,3.9611911083827547,3.99751747636232,25.637568380568197,0.906325007567794,0.9542525226568509,47.534293300593056,380.27434640474445,0.047927515089056905
56.0,3.9174272898477587,3.959186528039871,3.995627545523095,25.657127705408303,0.9055929351595676,0.9535209494753969,47.51023833647845,380.0819066918276,0.04792801431582927
58.0,3.9151868632405717,3.9572156154555422,3.9937738265669744,25.67636181528827,0.9048608627513413,0.9527893762939429,47.48658738546651,379.89269908373205,0.047928513542601636
60.0,3.912972851230965,3.955276285122563,3.991954231720361,25.695271172445935,0.9041287903431149,0.9520578031124889,47.46331542147075,379.706523371766,0.047929012769374
62.0,3.910783312793175,3.953366539255084,3.99016675624769,25.713856581074705,0.9033967179348885,0.9513262299310349,47.44039847106101,379.52318776848807,0.04792951199614637
64.0,3.9085848338530047,3.9514844642437197,3.9884094746211103,25.73211916261348,0.9026646455266621,0.9505946567495809,47.417813570924636,379.3425085673971,0.047930011222918734
66.0,3.906395057273195,3.949628227304055,3.986680536880864,25.750060332389733,0.9019325731184358,0.9498630835681269,47.395538727648656,379.16430982118925,0.0479305104496911
68.0,3.9042262241694488,3.94779607331025,3.9849781651792497,25.767681777548578,0.9012005007102094,0.9491315103866729,47.373552879723,378.988423037784,0.047931009676463465
70.0,3.9020769458712645,3.945986321805703,3.9833006505014104,25.784985436203772,0.900468428301983,0.9483999372052189,47.351835861668434,378.81468689334747,0.04793150890323583
72.0,3.8999459237897636,3.9441973641829535,3.981646349556578,25.801973477749712,0.8997363558937567,0.9476683640237649,47.330368370195444,378.64294696156355,0.0479320081300082
